property_type,surface_total_in_m2,borough,lat,lon
apartment,,Benito Juárez,19.368544,-99.163605
house,170.0,Iztapalapa,19.3432702,-99.0294738
house,636.0,Benito Juárez,21.222476336,-86.8016991019
apartment,,Álvaro Obregón,19.364099,-99.26406
house,,Iztapalapa,19.374413,-99.105499
house,180.0,Solidaridad,,
apartment,,Iztacalco,19.392349,-99.07093
apartment,,Cuauhtémoc,19.446256,-99.147767
apartment,,Cancún,21.136186,-86.84689
apartment,,Azcapotzalco,19.474655,-99.189277
apartment,,Coyoacán,19.348122,-99.125716
apartment,0.0,Benito Juárez,21.129547,-86.817017
apartment,,La Magdalena Contreras,19.306198,-99.235825
store,150.0,Gustavo A. Madero,19.4459423,-99.1557748
house,0.0,Calera,22.945942,-102.6997514
apartment,,Miguel Hidalgo,19.429857,-99.194502
house,,Álvaro Obregón,19.365175,-99.230064
house,,Benito Juárez,19.378298,-99.172713
apartment,,Benito Juárez,19.368544,-99.163605
apartment,0.0,Azcapotzalco,19.4655149244,-99.1627183557
apartment,0.0,Benito Juárez,19.394073,-99.153915
house,88.0,Tlalpan,19.281164,-99.20237
apartment,5000.0,Benito Juárez,21.082655,-86.857162
house,,La Magdalena Contreras,19.293903,-99.215174
apartment,,Benito Juárez,21.164564,-86.820017
apartment,13.0,Iztapalapa,19.342083,-99.0532159
apartment,35.0,Solidaridad,20.620501508,-87.0866958797
apartment,221.0,Cuajimalpa de Morelos,19.3904162,-99.2550003
house,1648.0,Miguel Hidalgo,19.4066702,-99.2278752
apartment,,Iztapalapa,19.373161,-99.130394
apartment,208.0,Solidaridad,20.626583,-87.078659
apartment,,Venustiano Carranza,19.41084,-99.120408
apartment,0.0,Miguel Hidalgo,19.4330124,-99.1998014
apartment,0.0,Álvaro Obregón,19.3605334,-99.2267067
apartment,54.0,Venustiano Carranza,19.4261250552,-99.0608882904
apartment,0.0,Solidaridad,20.6316486463,-87.0656032562
apartment,,Venustiano Carranza,19.455518,-99.123801
apartment,179.0,Cuauhtémoc,19.415092,-99.1563828
house,1347.0,Álvaro Obregón,19.3488756029,-99.1918498278
house,,Iztapalapa,19.374413,-99.105499
apartment,,Benito Juárez,21.159503,-86.821976
apartment,213.0,Solidaridad,20.6338284762,-87.0634746552
apartment,120.0,Benito Juárez,21.152508,-86.850891
house,,Venustiano Carranza,19.423202,-99.110099
apartment,,Venustiano Carranza,19.413349,-99.108641
apartment,210.0,Benito Juárez,21.203037,-86.806343
house,,Xochimilco,19.276096,-99.128322
apartment,,Solidaridad,20.632222,-87.06714
apartment,0.0,Solidaridad,20.626583,-87.078659
apartment,,Azcapotzalco,19.478815,-99.196831
house,382.0,Benito Juárez,21.1126908709,-86.7653115839
house,0.0,Benito Juárez,21.129547,-86.817017
apartment,,Solidaridad,20.65235,-87.048539
apartment,0.0,Miguel Hidalgo,,
apartment,175.0,Cuauhtémoc,19.41498,-99.177444
apartment,0.0,Solidaridad,,
house,,Cuajimalpa de Morelos,19.392937,-99.263313
apartment,,Álvaro Obregón,19.341894,-99.224525
apartment,,Azcapotzalco,,
house,171.0,Solidaridad,20.6500428907,-87.0745827784
apartment,,Benito Juárez,19.391074,-99.165737
house,144.0,Venustiano Carranza,19.4139442,-99.1095693
house,90.0,Benito Juárez,21.1372982228,-86.8394629285
apartment,,Benito Juárez,21.179993,-86.822859
apartment,0.0,Cuajimalpa de Morelos,19.390415,-99.254997
apartment,,Miguel Hidalgo,,
house,240.0,Benito Juárez,21.1507701448,-86.8431553245
apartment,,Benito Juárez,,
apartment,,Azcapotzalco,19.474706,-99.18843
house,199.0,Coyoacán,19.3109098,-99.1307421
house,,Benito Juárez,19.401406,-99.156836
house,,Iztapalapa,19.370043,-99.075081
apartment,,Tlalpan,19.270735,-99.175292
apartment,,Miguel Hidalgo,19.442152,-99.18603
house,,Azcapotzalco,19.46728,-99.185394
apartment,147.0,Tlalpan,19.275206,-99.218292
house,,Villanueva,22.356106,-102.873772
house,371.0,Benito Juárez,21.129547,-86.817017
apartment,,Miguel Hidalgo,19.390982,-99.243919
apartment,,Álvaro Obregón,19.335033,-99.200347
apartment,,Miguel Hidalgo,23.634501,-102.552788
house,56.0,Iztapalapa,19.342083,-99.0532159
house,,Benito Juárez,19.380392,-99.14769
apartment,0.0,Solidaridad,20.6295586,-87.0738851
house,,Tlalpan,19.2704,-99.219748
apartment,,Benito Juárez,19.400004,-99.16735
apartment,,Gustavo A. Madero,19.494455,-99.127874
apartment,,Azcapotzalco,19.496071,-99.204255
apartment,,Benito Juárez,19.366315,-99.162803
apartment,69.0,Azcapotzalco,19.473486,-99.185753
apartment,,Benito Juárez,19.395835,-99.135191
apartment,,Benito Juárez,19.398983,-99.154034
apartment,,Tlalpan,19.194247,-99.141976
house,110.0,Benito Juárez,,
apartment,,Álvaro Obregón,19.343099,-99.216976
apartment,229.0,Miguel Hidalgo,,
house,,Cuauhtémoc,19.456544,-99.127136
apartment,0.0,Benito Juárez,21.1650106121,-86.820127219
apartment,,Cuauhtémoc,19.457352,-99.155304
apartment,90.0,Solidaridad,20.626583,-87.078659
apartment,207.0,Miguel Hidalgo,,
apartment,,Coyoacán,19.301865,-99.108429
house,,Benito Juárez,19.394073,-99.153915
apartment,82.0,Álvaro Obregón,19.33923,-99.218987
house,,La Magdalena Contreras,19.317653,-99.236291
apartment,,Iztapalapa,19.317234,-99.089518
apartment,,Coyoacán,19.314831,-99.140445
apartment,,Benito Juárez,19.39912,-99.141464
