property_type,price_aprox_usd,surface_total_in_m2,borough,lat,lon
apartment,329000.0,0.0,Tulum,20.2114185,-87.4653502
apartment,71126.75,0.0,Benito Juárez,21.136826,-86.866837
apartment,257110.04,97.0,Benito Juárez,19.3849579,-99.1598558
apartment,237145.4,0.0,Cuauhtémoc,19.4170429,-99.1554686
apartment,210745.93,0.0,Benito Juárez,19.3797151,-99.1677132
apartment,39883.66,,Benito Juárez,19.372724,-99.137094
apartment,55746.61,,Iztacalco,19.38445,-99.129917
house,27818.46,,Solidaridad,20.654925,-87.108498
apartment,611308.14,247.0,Miguel Hidalgo,19.430456,-99.1889121
apartment,484830.59,100.0,Miguel Hidalgo,19.4380266,-99.1885632
apartment,140653.57,105.0,Benito Juárez,19.4028756,-99.1473449
apartment,274496.58,,Miguel Hidalgo,19.443333,-99.202983
apartment,75166.06,,Xochimilco,19.267002,-99.127701
apartment,132769.93,,Benito Juárez,19.366078,-99.141746
apartment,289844.37,0.0,Benito Juárez,19.3910737,-99.1657372
apartment,47376.38,54.0,Iztacalco,19.4045899,-99.0601489
apartment,71390.18,,Cuauhtémoc,19.451781,-99.152476
house,1450000.0,322.0,Benito Juárez,21.1436931,-86.7883947
apartment,148094.96,,Álvaro Obregón,19.335033,-99.200347
house,62977.89,,Gustavo A. Madero,19.497346,-99.089531
house,92201.34,,Coyoacán,23.634501,-102.552788
apartment,66016.16,,Benito Juárez,19.368544,-99.163605
house,126447.56,170.0,Iztapalapa,19.3432702,-99.0294738
house,1100000.0,636.0,Benito Juárez,21.222476336,-86.8016991019
apartment,33719.34,,Álvaro Obregón,19.364099,-99.26406
house,176499.72,,Iztapalapa,19.374413,-99.105499
house,144097.53,180.0,Solidaridad,,
apartment,44783.51,,Iztacalco,19.392349,-99.07093
apartment,49051.11,,Cuauhtémoc,19.446256,-99.147767
apartment,35695.09,,Cancún,21.136186,-86.84689
apartment,32182.11,,Azcapotzalco,19.474655,-99.189277
apartment,86880.01,,Coyoacán,19.348122,-99.125716
apartment,890000.0,0.0,Benito Juárez,21.129547,-86.817017
apartment,31611.89,,La Magdalena Contreras,19.306198,-99.235825
store,107216.99,150.0,Gustavo A. Madero,19.4459423,-99.1557748
house,113170.56,0.0,Calera,22.945942,-102.6997514
apartment,979000.0,,Miguel Hidalgo,19.429857,-99.194502
house,64281.19,,Álvaro Obregón,19.365175,-99.230064
house,215987.39,,Benito Juárez,19.378298,-99.172713
apartment,192305.66,,Benito Juárez,19.368544,-99.163605
apartment,55847.67,0.0,Azcapotzalco,19.4655149244,-99.1627183557
apartment,153354.02,0.0,Benito Juárez,19.394073,-99.153915
house,205526.01,88.0,Tlalpan,19.281164,-99.20237
apartment,189716.32,5000.0,Benito Juárez,21.082655,-86.857162
house,116928.85,,La Magdalena Contreras,19.293903,-99.215174
apartment,195000.0,,Benito Juárez,21.164564,-86.820017
apartment,22912.19,13.0,Iztapalapa,19.342083,-99.0532159
apartment,50064.02,35.0,Solidaridad,20.620501508,-87.0866958797
apartment,618000.0,221.0,Cuajimalpa de Morelos,19.3904162,-99.2550003
house,5000000.0,1648.0,Miguel Hidalgo,19.4066702,-99.2278752
apartment,84298.37,,Iztapalapa,19.373161,-99.130394
apartment,336800.0,208.0,Solidaridad,20.626583,-87.078659
apartment,38461.13,,Venustiano Carranza,19.41084,-99.120408
apartment,712250.0,0.0,Miguel Hidalgo,19.4330124,-99.1998014
apartment,895670.22,0.0,Álvaro Obregón,19.3605334,-99.2267067
apartment,31980.69,54.0,Venustiano Carranza,19.4261250552,-99.0608882904
apartment,328440.0,0.0,Solidaridad,20.6316486463,-87.0656032562
apartment,60958.26,,Venustiano Carranza,19.455518,-99.123801
apartment,386681.53,179.0,Cuauhtémoc,19.415092,-99.1563828
house,2000000.0,1347.0,Álvaro Obregón,19.3488756029,-99.1918498278
house,176499.72,,Iztapalapa,19.374413,-99.105499
apartment,134350.53,,Benito Juárez,21.159503,-86.821976
apartment,500000.0,213.0,Solidaridad,20.6338284762,-87.0634746552
apartment,71126.75,120.0,Benito Juárez,21.152508,-86.850891
house,147100.66,,Venustiano Carranza,19.423202,-99.110099
apartment,49168.14,,Venustiano Carranza,19.413349,-99.108641
apartment,310923.97,210.0,Benito Juárez,21.203037,-86.806343
house,120125.18,,Xochimilco,19.276096,-99.128322
apartment,435000.0,,Solidaridad,20.632222,-87.06714
apartment,1607500.0,0.0,Solidaridad,20.626583,-87.078659
apartment,76395.4,,Azcapotzalco,19.478815,-99.196831
house,690000.0,382.0,Benito Juárez,21.1126908709,-86.7653115839
house,1300000.0,0.0,Benito Juárez,21.129547,-86.817017
apartment,1060150.0,,Solidaridad,20.65235,-87.048539
apartment,621847.94,0.0,Miguel Hidalgo,,
apartment,469020.9,175.0,Cuauhtémoc,19.41498,-99.177444
apartment,320000.0,0.0,Solidaridad,,
house,104881.19,,Cuajimalpa de Morelos,19.392937,-99.263313
apartment,141094.4,,Álvaro Obregón,19.341894,-99.224525
apartment,60388.4,,Azcapotzalco,,
house,160000.0,171.0,Solidaridad,20.6500428907,-87.0745827784
apartment,65858.1,,Benito Juárez,19.391074,-99.165737
house,223917.55,144.0,Venustiano Carranza,19.4139442,-99.1095693
house,39514.86,90.0,Benito Juárez,21.1372982228,-86.8394629285
apartment,73761.07,,Benito Juárez,21.179993,-86.822859
apartment,732342.12,0.0,Cuajimalpa de Morelos,19.390415,-99.254997
apartment,93511.29,,Miguel Hidalgo,,
house,135330.97,240.0,Benito Juárez,21.1507701448,-86.8431553245
apartment,147522.15,,Benito Juárez,,
apartment,33200.35,,Azcapotzalco,19.474706,-99.18843
house,368892.84,199.0,Coyoacán,19.3109098,-99.1307421
house,127815.82,,Benito Juárez,19.401406,-99.156836
house,82875.83,,Iztapalapa,19.370043,-99.075081
apartment,97469.99,,Tlalpan,19.270735,-99.175292
apartment,53073.5,,Miguel Hidalgo,19.442152,-99.18603
house,289775.66,,Azcapotzalco,19.46728,-99.185394
apartment,445306.36,147.0,Tlalpan,19.275206,-99.218292
house,51158.57,,Villanueva,22.356106,-102.873772
